G3,1790,GRU,2564,MAO,2551,,0,738
G3,1790,MAO,2551,GRU,2564,,0,738
G3,1790,BEL,2526,GRU,2564,,0,738
G3,1790,GRU,2564,BEL,2526,,0,73G 738
G3,1790,FOR,2559,GRU,2564,,0,738 73G
G3,1790,GRU,2564,FOR,2559,,0,73G 738
G3,1790,GRU,2564,NAT,2597,,0,738
G3,1790,NAT,2597,GRU,2564,,0,738 73G
G3,1790,GRU,2564,JPA,2575,,0,738
G3,1790,JPA,2575,GRU,2564,,0,738
G3,1790,GRU,2564,REC,2610,,0,738 73G
G3,1790,REC,2610,GRU,2564,,0,738 73G
G3,1790,GRU,2564,MCZ,2590,,0,738 73G
G3,1790,MCZ,2590,GRU,2564,,0,73G 738
G3,1790,AJU,2522,GRU,2564,,0,73G 738
G3,1790,GRU,2564,AJU,2522,,0,738 73G
G3,1790,GRU,2564,SSA,2621,,0,738 73G
G3,1790,SSA,2621,GRU,2564,,0,738
G3,1790,GIG,2560,GRU,2564,,0,73G 738
G3,1790,GRU,2564,GIG,2560,,0,738 73G
G3,1790,GRU,2564,SDU,2612,,0,738 73G
G3,1790,SDU,2612,GRU,2564,,0,738 73G
G3,1790,CWB,2545,GRU,2564,,0,738
G3,1790,GRU,2564,CWB,2545,,0,738
G3,1790,GRU,2564,POA,2599,,0,738 73G
G3,1790,POA,2599,GRU,2564,,0,738 73G
G3,1790,BSB,2531,GRU,2564,,0,738 73G
G3,1790,GRU,2564,BSB,2531,,0,738 73G
G3,1790,CGH,2618,GIG,2560,,0,738 73G
G3,1790,GIG,2560,CGH,2618,,0,738
G3,1790,CGH,2618,SDU,2612,,0,738 73G
G3,1790,SDU,2612,CGH,2618,,0,738 73G
JJ,4867,BEL,2526,MAO,2551,,0,320
JJ,4867,MAO,2551,BEL,2526,,0,320
JJ,4867,BEL,2526,FOR,2559,,0,320
JJ,4867,FOR,2559,BEL,2526,,0,320
JJ,4867,FOR,2559,NAT,2597,,0,320
JJ,4867,NAT,2597,FOR,2559,,0,320
JJ,4867,MCZ,2590,REC,2610,,0,320
JJ,4867,REC,2610,MCZ,2590,,0,320
JJ,4867,AJU,2522,SSA,2621,,0,319
JJ,4867,SSA,2621,AJU,2522,,0,319
JJ,4867,FOR,2559,SSA,2621,,0,320
JJ,4867,SSA,2621,FOR,2559,,0,320
JJ,4867,AJU,2522,REC,2610,,0,320
JJ,4867,REC,2610,AJU,2522,,0,320
